hsa-mir-3177-5p,0.3,0.7,hsa-miR-498,#N/A,
hsa-mir-1323,0.3,0.7,hsa-miR-498,#N/A,
hsa-mir-802,0.3,0.7,hsa-miR-5,#N/A,
hsa-mir-1202,0.3,0.7,hsa-miR-5,#N/A,
hsa-mir-888-5p,0.3,0.7,hsa-miR-501,#N/A,
hsa-mir-6126,0.3,0.7,hsa-miR-501,#N/A,
hsa-mir-550a-5p,0.3,0.7,hsa-miR-501,#N/A,
hsa-mir-634,0.3,0.7,hsa-miR-501,#N/A,
hsa-mir-1180-5p,0.3,0.7,hsa-miR-503,#N/A,
hsa-mir-661,0.3,0.7,hsa-miR-508,#N/A,
hsa-mir-2909,0.3,0.7,hsa-miR-510,#N/A,
hsa-mir-3144-5p,0.3,0.7,hsa-miR-511,#N/A,
hsa-mir-889-5p,0.3,0.7,hsa-miR-513,#N/A,
hsa-mir-147b-5p,0.3,0.7,hsa-miR-515-3p,#N/A,
hsa-mir-1247-5p,0.3,0.7,hsa-miR-516-5p,#N/A,
hsa-mir-103b,0.3,0.7,hsa-miR-518a-2*,#N/A,
hsa-mir-1265,0.3,0.7,hsa-miR-518a-2*,#N/A,
hsa-mir-3196,0.3,0.7,hsa-miR-10a,#N/A,
hsa-mir-1294,0.3,0.7,hsa-miR-205,#N/A,
hsa-mir-1268a,0.3,0.7,hsa-miR-20a,#N/A,
hsa-mir-623,0.3,0.7,hsa-miR-31,#N/A,
hsa-mir-5692b,0.3,0.7,hsa-miR-320,#N/A,
hsa-mir-6069,0.3,0.7,hsa-miR-320,#N/A,
hsa-mir-5091,0.3,0.7,hsa-miR-320,#N/A,
hsa-mir-1-5p,0.3,0.7,hsa-miR-561,#N/A,
hsa-mir-876-5p,0.4,0.6,hsa-miR-615-3p,#N/A,
hsa-mir-190a-5p,0.4,0.6,hsa-miR-659,#N/A,
hsa-mir-761,0.4,0.6,hsa-miR-7,#N/A,
hsa-mir-214-3p,0.4,0.6,hsa-miR-92,#N/A,
